Grupo,MAE_Baseline,MAE_RF,MAE_XGB,n_obs
Alta rotación,2.6931818181818183,3.065909090909091,3.5782601833343506,22
Baja rotación,0.48333333333333334,0.6608888888888891,0.7740526795387268,15
